DO,latitude,longitude,raims_blancs,raims_negres,extra,country
Meursault,47.00,3.64,Chardonnay,Pinot Noir,,France
Pauillac,45.19,-0.30,,"Cabernet Sauvignon, Merlot",,France
Côtes d'Auxerre,47.79,3.57,Chardonnay,Pinot Noir,,France
Pays d'Oc,43.59,3.10,"Chardonnay, Sauvignon Blanc, Viognier","Syrah, Merlot, Cabernet Sauvignon",,France
Comté-Tolosan,44.06,-1.43,"Colombard, Gros Manseng","Merlot, Tannat",,France
Val de Loire,47.27,0.32,"Chenin Blanc, Sauvignon Blanc, Melon de Bourgogne","Cabernet Franc, Gamay Noir",,France
Duché d'Uzès,44.00 ,3.48 ,"Viognier, Roussanne","Syrah, Garnacha",,France
Abruzzo,42.349850,13.399509,"Trebbiano, Pecorino, Montonico ",Montepulciano,,Italy
Basilicata,40.666668,16.600000,"Malvasia Bianca di Basilicata, Greco","Sangiovese, Primitivo, Montepulciano, Merlot, Cabernet Sauvignon",,Italy
Calabria,38.111389,15.661944,"Greco Bianco, Mantonico Bianco, Ciro Bianco ","Gaglioppo, Magliocco, GrecoNero, Aglianico",,Italy
Campania,41.133331,14.783333,"Fiano, Greco, Falanghina, Coda di Volpe ","Aglianico, Piedirosso",,Italy
Emilia-Romagna,44.494887,11.342616,"Trebbiano, Pignoletto, Malvasia, Albana","Sangiovese, Lambrusco, Bonarda, Malbo Gentile, Ciliegiolo, Uva Tosca",,Italy
Friuli-Venezia-Giulia,46.073055,13.235555,"Chardonnay, Friulano, MalvasiaIstriana, Picolit, Pinot Grigio, Pinot Blanc, Ribolla Gialla, Riesling, Friulano, Verdejo, Vitovska ","Cabernet Franc, Cabernet Sauvignon, Merlot, Pinot Noir, Refosco dal Peduncolo Rosso, Schioppettino",,Italy
Lazio,41.902783,12.496366,"Bombino Bianco, Bellone Bianco, Greco, Trebbiano, Malvasiadi Candia, MalvasiaPuntinata, Chardonnay, Sauvignon Blanc","Cesanese, Sangiovese, Merlot, Cabernet Sauvignon",,Italy
Liguria,44.405650,8.946256,"Vermentino, Pigato, Albarola, Bianchetta Genovese ","Rossese, Ciliegiolo, Dolcetto",,Italy
Lombardy,45.464204,9.189982,"Chardonnay, Pinot Blanc, Riesling, Sauvignon Blanc, Trebbiano di Lugana","Barbera, Bonarda, Cabernet Franc, Cabernet Sauvignon, Merlot, Nebbiolo, Pinot Noir",,Italy
Marche,43.616943,13.516667,"Verdejo, Pecorino, Passerina, Trebbiano, Vernaccia, Albana, Biancame, Maceratino ","Montepulciano, Sangiovese, Lacrima",,Italy
Molise,41.699700,14.611100,"Chardonnay, Falanghina, Fiano, Greco, Malvasia, Moscatell, Pinot Blanc, Pinot Grigio, Sauvignon Blanc, Trebbiano","Aglianico, Cabernet Sauvignon, Merlot, Montepulciano, Pinot Noir, Sangiovese",,Italy
Umbria,42.565044,12.643751,"Trebbiano, Grechetto ","Sangiovese, Sagrantino",,Italy
Piedmont,45.266800,7.916750,"Cortese, Arneis, MoscatellBianco, Erbaluce, Nascetta ","Nebbiolo, Barbera, Dolcetto, Freisa, Grignolino, Brachetto",,Italy
Apulia (Puglia),41.005200,16.507700,"Verdejo, Fiano, Moscatell","Primitivo, Negroamaro, Susumaniello",,Italy
Sardinia (Sardegna),40.120875,9.012892,"Vermentino, Nuragus, Torbato, Vernaccia di Oristano, Semidano, Moscatell","Cannonau, Cariñena, Monica, Bovale Sardo",,Italy
Sicily (Sicilia),37.599994,14.015356,"Grillo, Cataratto, Inzolia, Moscatell, Zibibbo, Carricante ","Nero d'Avola, Frappato, Nerello Mascalese, Perricone",,Italy
Tuscany (Toscana),43.771051,11.248621,"Vernaccia di San Gimignano, Vermentino, Malvasiadel Chianti, Trebbiano ","Sangiovese, Canaiolo Nero, Colorino, Ciliegiolo, Aleatico",,Italy
Trentino-Alto-Adige,46.066666,11.116667,"Müller-Thurgau, Riesling Italico, Pinot Blanc, Pinot Grigio, Sauvignon Blanc, Chardonnay, Gewürztraminer, Moscatell","Vernatsch, Pinot Noir, Lagrein, Marzemino, Teroldego",,Italy
Aosta Valley (Valle d'Aosta),45.734955,7.313076,"Prié Blanc, MoscatellBianco, Chardonnay, Pinot Grigio, Petit Arvine ","Nebbiolo, Petit Rouge, Fumin, Vuillermin, Cornalin, Mayolet, Roussin de Morgex ",,Italy
Veneto,45.433334,10.983333,"Garganega, Trebbiano di Soave, Chardonnay, Pinot Grigio, Glera, Verdejo, Vespaiola ","Corvina, Rondinella, Molinara, Cabernet Sauvignon, Merlot, Raboso, Marzemino, Refosco dal Peduncolo Rosso",,Italy
Ahr,50.5333,7.1333,"Riesling, Silvaner, Ruländer, Kerner, Weißburgunder, Chardonnay, Müller-Thurgau","Pinot Noir, Frühburgunder (Pinot Madeleine), Portugieser, Dornfelder",,Alemanya
Baden,48.0000,8.0000,"Müller-Thurgau, Riesling, Weißburgunder, Grauburgunder, Gutedel, Chardonnay, Gewürztraminer, Sauvignon Blanc, Moscatell","Pinot Noir, Cabernet Sauvignon, Merlot",,Alemanya
Württemberg,48.7784,9.1796,Riesling,"Trollinger, Lemberger (Lemberger), Pinot Noir, Pinot Meunier",,Alemanya
Pfalz,49.4179,8.2168,"Riesling, Pinot Blanc, Pinot Gris, Gewürztraminer, Silvaner, Müller-Thurgau, Kerner","Dornfelder, Portugieser, Pinot Noir",,Alemanya
Rheinhessen,49.8333,8.1667,"Riesling, Müller-Thurgau, Silvaner, Pinot Gris, Pinot Blanc","Dornfelder, Portugieser, Pinot Noir",,Alemanya
Nahe,49.8167,7.6500,"Riesling, Müller-Thurgau, Silvaner, Pinot Gris, Pinot Blanc","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Mosel,49.7500,6.7500,"Riesling, Müller-Thurgau, Elbling, Pinot Blanc","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Rheingau,50.0333,8.0333,"Riesling, Müller-Thurgau, Weißburgunder, Grauburgunder, Kerner","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Franken (Franconia),49.8000,10.2333,"Silvaner, Müller-Thurgau, Bacchus, Riesling","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Hessische Bergstrasse,49.7170,8.6170,"Riesling, Pinot Gris, Müller-Thurgau","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Mittelrhein,50.2500,7.6000,"Riesling, Müller-Thurgau, Kerner, Pinot Blanc, Scheurebe","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Saale-Unstrut,51.2000,11.7000,"Müller-Thurgau, Pinot Blanc, Silvaner, Riesling, Bacchus","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Sachsen (Saxony),51.0504,13.7373,"Müller-Thurgau, Riesling, Weißburgunder, Grauburgunder, Elbling, Goldriesling, Scheurebe","Pinot Noir, Dornfelder, Portugieser",,Alemanya
Styria,47.2500,15.1667,"Welschriesling, Sauvignon Blanc, Weißburgunder, Grauburgunder, Morillon, Moscatell, Riesling, Traminer","Zweigelt, Lemberger, St. Laurent, Pinot Noir",,Austria
Burgenland,47.5000,16.4167,"Welschriesling, Grüner Veltliner, Chardonnay, Pinot Blanc, Neuburger, Moscatell, Traminer, Sauvignon Blanc, Muscat Ottonel, Bouvier, Müller-Thurgau, Scheurebe, Riesling, Pinot Gris, Gold muscatel, Muscat Blossom, Goldburger, Furmint, Souvignier Gris, Frühroter Veltliner, Muscaris, Sylvaner, Zierfandler, Rotgipfler","Zweigelt, Lemberger, St. Laurent, Pinot Noir, Merlot, Cabernet Sauvignon, Roesler, Cabernet Franc, Syrah, Rathay, Rose muscatel, Blauer Portugieser",,Austria
Lower Austria,48.3333,15.7500,"Grüner Veltliner, Riesling, Chardonnay, Pinot Blanc, Neuburger, Moscatell, Traminer, Welschriesling, Rotgipfler, Zierfandler, Roter Veltliner, Goldburger, Sylvaner, Furmint, Jubiläumsrebe, Blütenmuskateller, Muscaris","Zweigelt, Lemberger, St. Laurent, Pinot Noir, Merlot, Cabernet Sauvignon, Syrah",,Austria
Pannonia Superior Borrégió,47.0000,18.0000,"Welschriesling, Grüner Veltliner, Chardonnay, Pinot Blanc, Neuburger, Moscatell, Traminer, Sauvignon Blanc, Muscat Ottonel, Bouvier, Müller-Thurgau, Scheurebe, Riesling, Pinot Gris, Gold muscatel, Muscat Blossom, Goldburger, Furmint, Souvignier Gris, Frühroter Veltliner, Muscaris, Sylvaner, Zierfandler, Rotgipfler","Zweigelt, Lemberger, St. Laurent, Pinot Noir, Merlot, Cabernet Sauvignon, Roesler, Cabernet Franc, Syrah, Rathay, Rose muscatel, Blauer Portugieser",,Hungria
Balatoni Borrégió,46.8000,17.7000,"Olasz rizling, Szürkebarát, Chardonnay, Moscatell Ottonel, Sauvignon Blanc, Cserszegi fűszeres, Ezerjó, Furmint, Hárslevelű, Irsai Olivér, Juhfark, Királylányka, Welschriesling, Muscat Ottonel, Pinot Blanc, Rheinriesling, Riesling Sylvaner, Muscat Lunel, Sauvignon, Szürkebarát, Traminer, Viognier, Zöld veltelini, Sárfehér","Cabernet Sauvignon, Kékfrankos, Zweigelt",,Hungria
Pannon Borrégió,46.0000,18.0000,"Welschriesling, Grüner Veltliner, Chardonnay, Pinot Blanc, Neuburger, Moscatell, Traminer, Sauvignon Blanc, Muscat Ottonel, Bouvier, Müller-Thurgau, Scheurebe, Riesling, Pinot Gris, Gold muscatel, Muscat Blossom, Goldburger, Furmint, Souvignier Gris, Frühroter Veltliner, Muscaris, Sylvaner, Zierfandler, Rotgipfler","Zweigelt, Lemberger, St. Laurent, Pinot Noir, Merlot, Cabernet Sauvignon, Roesler, Cabernet Franc, Syrah, Rathay, Rose muscatel, Blauer Portugieser",,Hungria
Duna Borrégió,46.8000,19.5000,"Chardonnay, Cserszegi fűszeres, Ezerjó, Furmint, Hárslevelű, Irsai Olivér, Juhfark, Királylányka, Welschriesling, Muscat Ottonel, Pinot Blanc, Rheinriesling, Riesling Sylvaner, Muscat Lunel, Sauvignon, Szürkebarát, Traminer, Viognier, Zöld veltelini, Sárfehér","Cabernet Sauvignon, Kékfrankos, Zweigelt",,Hungria
Észak-Magyarországi Borrégió,48.0000,20.5000,"Welschriesling, Grüner Veltliner, Chardonnay, Pinot Blanc, Neuburger, Moscatell, Traminer, Sauvignon Blanc, Muscat Ottonel, Bouvier, Müller-Thurgau, Scheurebe, Riesling, Pinot Gris, Gold muscatel, Muscat Blossom, Goldburger, Furmint, Souvignier Gris, Frühroter Veltliner, Muscaris, Sylvaner, Zierfandler, Rotgipfler","Zweigelt, Lemberger, St. Laurent, Pinot Noir, Merlot, Cabernet Sauvignon, Roesler, Cabernet Franc, Syrah, Rathay, Rose muscatel, Blauer Portugieser",,Hungria
Creta (Crete),35.4174,24.5300,"Vilana, Vidiano, Dafni, Thrapsathiri, Malvazia di Candia, Muscat of Spina, Plyto","Kotsifali, Mantilari, Liatiko, Tsardana, Romeiko",,Grecia
Egeo Meridional (South Aegean),37.7090,26.6890,"Assyrtiko, Athiri, Monemvassia, Mandilaria","Avgoustiatis, Mandilaria",,Grecia
Egeo Septentrional (North Aegean),39.0000,26.0000,"Muscat Blanc, Athiri","Avgoustiatis, Mandilaria",,Grecia
Epiro (Epirus),39.5661,20.7583,"Debina, Vlahiko, Bekari, Assyrtiko","Vlachiko, Xinomavro",,Grecia
Grecia Central (Central Greece),38.6000,22.8000,"Savatiano, Roditis, Assyrtiko, Athiri, Malagousia","Mouchtaro, Mandilaria, Cabernet Sauvignon, Cabernet Franc, Merlot, Syrah",,Grecia
Grecia Occidental (Western Greece),38.5000,21.8333,"Roditis, Muscat","Agiorgitiko, Mavrodaphne",,Grecia
Islas Jónicas (Ionian Islands),37.8000,20.7000,"Robola, Tsaoussi",Avgoustiatis,,Grecia
Macedonia Central (Central Macedonia),40.7000,23.0000,Malagousia,Xinomavro,,Grecia
Macedonia Occidental (Western Macedonia),40.4167,21.2667,Malagousia,Xinomavro,,Grecia
Macedonia Oriental y Tracia (Eastern Macedonia and Thrace),41.0000,25.0000,Malagousia,Xinomavro,,Grecia
Peloponeso (Peloponnese),37.5000,22.2000,"Moschofilero, Roditis, Lagorthi","Agiorgitiko, Mavrodaphne, Avgoustiatis",,Grecia
Tesalia (Thessaly),39.6000,22.2000,Malagousia,Limniona,,Grecia
Zagorje – Međimurje,46.1000,16.2000,,,,Grecia
Plešivica,45.7167,15.6667,"Chardonnay, Sauvignon Blanc, Riesling, Graševina, Pinot Blanc, Pinot Gris, Sylvaner, Müller-Thurga, Traminer, Muscat Blanc, Muscat Ottonel","Pinot Noir, Portugieser",,Croacia
Pokuplje,45.5000,15.5833,"Graševina, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Traminer, Muscat Blanc, Muscat Ottonel","Lemberger, Merlot, Cabernet Sauvignon, Zweigelt",,Croacia
Moslavina,45.5700,16.7700,"Škrlet, Graševina, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Traminer, Muscat Blanc, Muscat Ottonel","Lemberger, Merlot, Cabernet Sauvignon, Zweigelt",,Croacia
Prigorje – Bilogora,45.8333,16.8333,"Graševina, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Traminer, Muscat Blanc, Muscat Ottonel","Lemberger, Merlot, Cabernet Sauvignon, Zweigelt",,Croacia
Slavonia,45.0000,18.0000,"Graševina, Chardonnay, Riesling, Traminer, Pinot Grigio, Sauvignon Blanc","Lemberger, Merlot, Cabernet Sauvignon, Zweigelt, Pinot Noir",,Croacia
Podunavlje (Danube),45.4667,18.8667,"Graševina, Chardonnay, Riesling, Traminer, Pinot Grigio, Sauvignon Blanc","Lemberger, Merlot, Cabernet Sauvignon, Zweigelt, Pinot Noir",,Croacia
Hrvatska Istra (Istria),45.2000,13.8667,"MalvasiaIstriana, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel","Teran, Merlot, Cabernet Sauvignon, Lemberger",,Croacia
Hrvatsko Primorje (Primorje),45.1167,14.8000,"Žlahtina, Sansigot, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel","Merlot, Cabernet Sauvignon, Lemberger",,Croacia
Sjeverna Dalmacija (North Dalmatia),44.0000,15.5000,"Maraština, Debit, Pošip, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel","Plavina, Babić, Lasina, Merlot, Syrah",,Croacia
Dalmatinska Zagora (Dalmatian Hinterland),43.7000,16.6000,"Kujundžuša, Zlatarica, Žilavka, Medna, Graševina, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel","Trnjak, Vranac, Plavina, Merlot, Cabernet Sauvignon, Lemberger",,Croacia
Srednja i Južna Dalmacija (Central and South Dalmatia),43.0000,17.2000,"Pošip, Grk, Maraština, Dubrovnik Malvasia, Vugava, Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel","Plavac Mali, Tribidrag (Crljenak), Plavina, Merlot, Cabernet Sauvignon, Lemberger",,Croacia
Transilvania (Transylvania),46.766666,23.583332,"Fetească Regală, Fetească Albă, Muscat Ottonel, Sauvignon Blanc, Chardonnay, Pinot Gris","Pinot Noir, Merlot, Cadarca",,Romania
Valaquia (Wallachia),44.933334,26.033333,"Fetească Albă, Welschriesling, Pinot Gris, Muscat Ottonel, Tămâioasă Românească","Cabernet Sauvignon, Merlot, Pinot Noir, Burgund Mare, Fetească Neagră",,Romania
Moldavia,47.158455,27.601442,"Fetească Albă, Fetească Regală, Welschriesling, Tămâioasă Românească, Grasă de Cotnari, Frâncușă","Cabernet Sauvignon, Merlot, Băbească Neagră, Fetească Neagră",,Romania
Dobruja (Dobrogea),45.1500,28.8333,"Chardonnay, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Pinot Noir, Merlot, Cabernet Sauvignon, Dimyat",,Romania
Struma Valley,41.8333,23.1167,"Broad-Leaf Melnik (Shiroka Melnishka Loza), Melnik, Cabernet Sauvignon, Merlot, Syrah","Mavrud, Rubin, Merlot, Cabernet Sauvignon",,Bulgaria
Thracian Valley,42.1500,25.5500,"Chardonnay, Sauvignon Blanc, Muscat Ottonel, Pamid","Mavrud, Merlot, Cabernet Sauvignon, Rubin",,Bulgaria
Rose Valley,42.6170,25.4000,"Red Misket, Chardonnay, Muscat, Traminer, Sauvignon Blanc","Merlot, Cabernet Sauvignon, Syrah",,Bulgaria
Black Sea,42.6883,27.7139,"Chardonnay, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Pinot Noir, Merlot, Cabernet Sauvignon, Dimyat",,Bulgaria
Danubian Plain,43.2500,25.3333,"Riesling, Muscat Ottonel, Chardonnay, Aligote, Pamid","Kadarka, Merlot, Cabernet Sauvignon",,Bulgaria
British Columbia,53.7267,-127.6476,"Chardonnay, Pinot Gris, Riesling, Gewürztraminer, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Traminer, Aligote","Merlot, Pinot Noir, Cabernet Sauvignon, Cabernet Franc, Syrah, Gamay Noir Noir",,Canada
Quebec,46.0199,-71.9824,"Vidal, Seyval Blanc, Frontenac Blanc, St. Pepin, Chardonnay, Pinot Gris, Chenin Blanc, Gewürztraminer","Frontenac Noir Noir, Marquette, Petit Pearl, Baco Noir, Marechal Foch, Cabernet Franc, Pinot Noir",,Canada
Ontario,50.0000,-85.0000,"Riesling, Sauvignon Blanc, Pinot Gris, Chardonnay, Vidal, Gewürztraminer","Cabernet Franc, Cabernet Sauvignon, Merlot, Pinot Noir, Gamay Noir Noir, Baco Noir",,Canada
Nova Scotia,45.0000,-63.0000,"L'Acadie Blanc, Seyval Blanc, Vidal Blanc, New York Muscat, Chardonnay, Riesling, Sauvignon Blanc","Baco Noir, Marechal Foch, Lucie Kuhlmann, Leon Millot, Castel, Pinot Noir, Gamay Noir",,Canada
California,36.778259,-119.417931,"Chardonnay, Sauvignon Blanc, Semillón, Muscadelle, Sauvignon Gris, Pinot Gris, Riesling, Gewürztraminer","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot, Malbec, Carménère, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah",,Estats_Units
Oregon,44.000000,-120.500000,"Pinot Gris, Chardonnay, Riesling, Sauvignon Blanc, Gewürztraminer, Pinot Blanc","Pinot Noir, Syrah, Cabernet Sauvignon, Merlot, Tempranillo, Gamay Noir",,Estats_Units
Washington,47.751076,-120.740135,"Riesling, Chardonnay, Sauvignon Blanc, Gewürztraminer, Pinot Gris","Cabernet Sauvignon, Merlot, Syrah, Cabernet Franc, Malbec, Pinot Noir",,Estats_Units
Pennsylvania,41.203323,-77.194527,"Chardonnay, Riesling, Vidal Blanc, Seyval Blanc, La Crescent","Cabernet Franc, Merlot, Pinot Noir, Chambourcin, Baco Noir, Frontenac Noir, Marquette",,Estats_Units
Connecticut,41.599998,-72.699997,"Seyval Blanc, Vidal Blanc, La Crescent","Cabernet Franc, Chardonnay, Pinot Noir, Baco Noir, Frontenac Noir, Marquette",,Estats_Units
Massachusetts,42.407211,-71.382439,"Chardonnay, Riesling, Seyval Blanc, Vidal Blanc, La Crescent","Cabernet Sauvignon, Pinot Noir, Concord, Maréchal Foch",,Estats_Units
Baja Norte (Baja California),29.9500,-115.1167,"Chenin Blanc, Sauvignon Blanc, Chardonnay, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Cabernet Sauvignon, Merlot, Cabernet Franc, Petit Verdot, Malbec, Carménère, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah, Tempranillo, Nebbiolo, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Sonora,29.2972,-110.3309,"Chenin Blanc, Chardonnay, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Nebbiolo, Cabernet Sauvignon, Merlot, Cabernet Franc, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah, Tempranillo, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Durango,24.0277,-104.6532,"Sauvignon Blanc, Chenin Blanc, Chardonnay, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Cabernet Sauvignon, Tempranillo, Merlot, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah, Nebbiolo, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Coahuila,27.3000,-102.0500,"Chardonnay, Chenin Blanc, Muscat de Alexandria, Verdejo","Cabernet Sauvignon, Cabernet Franc, Caladoc, Malbec, Pinot Noir, Ruby Cabernet, Shiraz, Tempranillo",,Mexic
Zacatecas,22.7684,-102.5814,"Chardonnay, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Malbec, Nebbiolo, Cabernet Sauvignon, Merlot, Cabernet Franc, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah, Tempranillo, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Aguascalientes,21.8823,-102.2826,"Sauvignon Blanc, Chardonnay, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Cabernet Sauvignon, Malbec, Merlot, Cabernet Franc, Syrah, Garnacha, Mourvèdre, Pinot Noir, Zinfandel, Petit Sirah, Tempranillo, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Querétaro,20.5881,-100.3881,"Xarel·lo, Macabeo, Chardonnay, Viognier, Sauvignon Blanc, Muscat Blanc, Muscat Ottonel, Trebbiano, Riesling, Traminer, Aligote","Pinot Noir, Syrah, Merlot, Marselan, Malbec, Tempranillo, Cabernet Sauvignon, Garnacha, Mourvèdre, Zinfandel, Petit Sirah, Sangiovese, Ruby Cabernet, Palomino, Trousseau Gris, Rosa del Peru, Listan Prieto, Cariñena, Montepulciano",,Mexic
Vale do São Francisco,-9.3825,-40.5022,"Sauvignon Blanc, Chenin Blanc, MoscatellCanelli, Viognier, Moscatell Blanc, Moscatell Ottonel, Trebbiano, Riesling, Traminer, Aligote","Cabernet Sauvignon, Syrah, Tempranillo, Alicante Bouschet, Touriga Nacional, Aragonês, Barbera, Petit Sirah",,Brasil
Planalto Catarinense,-27.0703,-52.8656,"Chardonnay, Sauvignon Blanc, Pinot Gris, Riesling, Muscat Blanc, Muscat Ottonel, Trebbiano, Traminer, Aligote","Merlot, Cabernet Sauvignon, Pinot Noir, Malbec",,Brasil
Campos de Cima da Serra,-29.0000,-50.0000,Chardonnay,"Merlot, Pinot Noir",,Brasil
Serra Gaúcha,-29.0000,-51.5000,"Chardonnay, Semillón, Sauvignon Blanc, Muscat, Welschriesling","Merlot, Cabernet Sauvignon, Cabernet Franc, Tannat, Pinot Noir",,Brasil
Serra do Sudeste,-30.5000,-53.5000,"Sauvignon Blanc, Malvasia","Cabernet Franc, Merlot, Pinot Noir, Tannat, Touriga Nacional, Alicante Bouschet",,Brasil
Campanha Gaúcha,-31.5000,-53.3667,"Sauvignon Blanc, Chardonnay, Pinot Gris, Gewürztraminer","Cabernet Sauvignon, Tempranillo, Touriga Nacional, Tannat, Syrah",,Brasil
Canelones,-34.5250,-56.2807,"Pinot Blanc, Chenin Blanc, Sauvignon Blanc, Chardonnay, Albariño, Marsanne, Petit Manseng, Torrontés, Riesling","Tannat, Nebbiolo, Nero d'Avola, Zinfandel, Cabernet Franc, Cabernet Sauvignon, Merlot, Syrah",,Uruguay
San José,-34.3378,-56.7139,"Sauvignon Blanc, Viognier, Chardonnay","Tannat, Merlot, Cabernet Franc, Pinot Noir",,Uruguay
Colonia,-34.4606,-57.8333,"Sauvignon Blanc, Chardonnay","Tannat, Cabernet Sauvignon, Merlot",,Uruguay
Artigas,-30.4000,-56.4667,,,,Uruguay
Rivera,-30.9000,-55.5500,Chardonnay,"Tannat, Cabernet Sauvignon, Pinot Noir, Cabernet Franc",,Uruguay
Salto,-31.3833,-57.9667,"Sauvignon Blanc, Chardonnay","Tannat, Cabernet Sauvignon, Merlot",,Uruguay
Paysandú,-32.3214,-58.0756,,,,Uruguay
Florida,-34.0956,-56.2146,,,,Uruguay
Montevideo,-34.9011,-56.1645,"Sauvignon Blanc, Viognier, Chardonnay","Tannat, Merlot, Cabernet Sauvignon, Cabernet Franc",,Uruguay
Maldonado,-34.9000,-54.9500,"Viognier, Albariño",Tannat,,Uruguay
Ica,-14.067,-75.733,"Sauvignon Blanc, Chardonnay, Muscat, Torrontés, Albillo, Italia, Moscatell","Cabernet Sauvignon, Malbec, Tannat, Merlot, Syrah, Quebranta, Negra Criolla, Mollar, Torontel, Uvina, Alicante Bouschet, Carménère, Garnacha, Touriga Nacional",,Peru
Lima,-12.046374,-77.042793,"Sauvignon Blanc, Chardonnay, Muscat, Torrontés, Albillo, Italia, Moscatell","Cabernet Sauvignon, Malbec, Tannat, Merlot, Syrah, Quebranta, Negra Criolla, Mollar, Torontel, Uvina, Alicante Bouschet, Carménère, Garnacha, Touriga Nacional",,Peru
Moquegua,-17.19832,-70.93567,"Sauvignon Blanc, Chardonnay, Muscat, Torrontés, Albillo, Italia, Moscatell","Cabernet Sauvignon, Malbec, Tannat, Merlot, Syrah, Quebranta, Negra Criolla, Mollar, Torontel, Uvina, Alicante Bouschet, Carménère, Garnacha, Touriga Nacional",,Peru
