DO,latitude,longitude,raims_blancs,raims_negres,extra,country
Waipara,-43.0000,172.8000,"Sauvignon Blanc, Riesling, Pinot Gris, Chardonnay",Pinot Noir,,Nova_Zelanda
Hawke’s Bay,-39.4413,176.9638,"Chardonnay, Sauvignon Blanc","Merlot, Cabernet Sauvignon, Syrah",,Nova_Zelanda
Gisborne,-38.6623,178.0177,"Chardonnay, Pinot Gris, Sauvignon Blanc, Gewürztraminer","Merlot, Syrah",,Nova_Zelanda
Waikato,-37.7833,175.2833,"Chardonnay, Sauvignon Blanc","Merlot, Cabernet Sauvignon, Syrah",,Nova_Zelanda
Auckland,-36.8485,174.7633,"Chardonnay, Sauvignon Blanc","Merlot, Cabernet Sauvignon, Syrah",,Nova_Zelanda
Northland,-35.3708,173.8849,"Chardonnay, Sauvignon Blanc","Merlot, Cabernet Sauvignon, Syrah",,Nova_Zelanda
Breedekloof,-33.6833,19.4500,"Chenin Blanc, Sauvignon Blanc, Chardonnay, Colombard","Cabernet Sauvignon, Shiraz, Pinotage",,Sud_Africa
Robertson,-33.8087,19.8892,"Chenin Blanc, Chardonnay, Sauvignon Blanc, Colombard","Cabernet Sauvignon, Shiraz, Pinotage, Merlot",,Sud_Africa
Worcester,-33.6463,19.4486,"Chenin Blanc, Sauvignon Blanc, Chardonnay, Colombard","Cabernet Sauvignon, Shiraz, Pinotage, Merlot",,Sud_Africa
Cape Agulhas,-34.8333,20.0000,"Sauvignon Blanc, Chardonnay","Pinot Noir, Shiraz",,Sud_Africa
Overberg,-34.2000,19.5000,"Sauvignon Blanc, Chardonnay, Pinot Gris","Pinot Noir, Shiraz, Cabernet Sauvignon",,Sud_Africa
Plettenberg Bay,-34.0527,23.3634,"Sauvignon Blanc, Chardonnay","Pinot Noir, Shiraz",,Sud_Africa
Walker Bay,-34.3500,19.3000,"Sauvignon Blanc, Chardonnay, Pinot Gris","Pinot Noir, Shiraz, Cabernet Sauvignon",,Sud_Africa
Elgin,-34.1500,19.0167,"Sauvignon Blanc, Chardonnay, Pinot Gris","Pinot Noir, Shiraz",,Sud_Africa
Swellendam,-34.0200,20.4400,"Sauvignon Blanc, Chardonnay","Pinot Noir, Shiraz, Cabernet Sauvignon",,Sud_Africa
Stellenbosch,-33.9321,18.8602,"Sauvignon Blanc, Chardonnay, Semillón, Chenin Blanc","Cabernet Sauvignon, Merlot, Pinotage, Shiraz, Cabernet Franc, Malbec, Petit Verdot",,Sud_Africa
Paarl,-33.7155,18.9662,"Sauvignon Blanc, Chardonnay, Semillón, Chenin Blanc","Cabernet Sauvignon, Merlot, Pinotage, Shiraz, Cabernet Franc, Malbec, Petit Verdot",,Sud_Africa
Swartland,-33.3669,18.7830,"Chenin Blanc, Sauvignon Blanc, Chardonnay","Pinotage, Shiraz, Cabernet Sauvignon, Merlot",,Sud_Africa
Darling,-33.3756,18.3861,"Sauvignon Blanc, Chardonnay","Pinot Noir, Shiraz, Cabernet Sauvignon",,Sud_Africa
Tulbagh,-33.2833,19.1333,"Sauvignon Blanc, Chardonnay, Semillón, Chenin Blanc","Cabernet Sauvignon, Merlot, Pinotage, Shiraz, Cabernet Franc, Malbec, Petit Verdot",,Sud_Africa
Wellington,-33.6405,19.0097,"Sauvignon Blanc, Chardonnay, Semillón, Chenin Blanc","Cabernet Sauvignon, Merlot, Pinotage, Shiraz, Cabernet Franc, Malbec, Petit Verdot",,Sud_Africa
Tygerberg,-33.8333,18.6500,"Sauvignon Blanc, Chardonnay","Pinot Noir, Shiraz, Cabernet Sauvignon",,Sud_Africa
Constantia,-34.0258,18.4197,"Sauvignon Blanc, Chardonnay","Cabernet Sauvignon, Pinotage, Shiraz",,Sud_Africa
Franschhoek Valley,-33.9091,19.1256,"Sauvignon Blanc, Chardonnay, Semillón, Chenin Blanc","Cabernet Sauvignon, Merlot, Pinotage, Shiraz, Cabernet Franc, Malbec, Petit Verdot",,Sud_Africa
Klein Karoo,-33.5000,21.5000,"Chenin Blanc, Sauvignon Blanc, Chardonnay","Pinotage, Shiraz, Cabernet Sauvignon, Merlot",,Sud_Africa
Calitzdorp,-33.5353,21.6869,"Chenin Blanc, Sauvignon Blanc, Chardonnay","Pinotage, Shiraz, Cabernet Sauvignon, Merlot",,Sud_Africa
Langeberg-Garcia,-33.8000,20.0000,"Chenin Blanc, Sauvignon Blanc, Chardonnay","Pinotage, Shiraz, Cabernet Sauvignon, Merlot",,Sud_Africa
Olifants River,-31.0000,18.5000,"Sauvignon Blanc, Chardonnay","Cabernet Sauvignon, Merlot, Shiraz",,Sud_Africa
Batroun,34.25528,35.65806,"Merweh, Viognier, Chardonnay, Obeideh, Muscat, Riesling","Cabernet Franc, Syrah, Mourvèdre, Pinot Noir, Cabernet Sauvignon, Merlot, Cinsault",,Liban
Central Bekaa,33.8333,35.5000,"Sauvignon Blanc, Chardonnay, Viognier","Cabernet Sauvignon, Merlot, Cinsault, Cariñena, Garnacha",,Liban
The West Bekaa,33.8333,35.5000,"Sauvignon Blanc, Chardonnay, Viognier","Cabernet Sauvignon, Merlot, Cinsault, Cariñena, Garnacha",,Liban
Baabda-Aley,33.833797,35.544144,"Chardonnay, Sauvignon Blanc, Viognier, Muscat","Cabernet Sauvignon, Merlot, Syrah, Mourvèdre, Cariñena",,Liban
Keserwan,34.1000,35.8000,"Chardonnay, Sauvignon Blanc, Viognier","Cabernet Sauvignon, Merlot, Syrah, Mourvèdre, Cariñena",,Liban
Metn,33.8301903,35.5424599,"Chardonnay, Sauvignon Blanc, Viognier","Cabernet Sauvignon, Merlot, Syrah, Mourvèdre, Cariñena",,Liban
Chouf,33.6120,35.6290,"Chardonnay, Sauvignon Blanc, Viognier","Cabernet Sauvignon, Merlot, Syrah, Mourvèdre, Cariñena",,Liban
Jezzine,33.5417,35.5844,"Merwah, Obeideh, Meksassi","Cabernet Sauvignon, Merlot, Syrah, Mourvèdre, Cariñena",,Liban
